pair_id,cohort,provenance,topic,act_mean_l7_nav,act_mean_l7_op,act_mean_l7_diff,inf_mean_l7_nav,inf_mean_l7_op,inf_mean_l7_diff,l20_25_inf_share_nav,l20_25_inf_share_op,l20_25_inf_share_diff,l15_25_inf_share_nav,l15_25_inf_share_op,l15_25_inf_share_diff,mid_continuity_l7_18_nav,mid_continuity_l7_18_op,mid_continuity_l7_18_diff,inf_layer_std_nav,inf_layer_std_op,inf_layer_std_diff,inf_entropy_nav,inf_entropy_op,inf_entropy_diff,feature_ratio_l7_nav,feature_ratio_l7_op,feature_ratio_l7_diff,edges_per_node_l7_nav,edges_per_node_l7_op,edges_per_node_l7_diff,edge_posneg_l7_nav,edge_posneg_l7_op,edge_posneg_l7_diff,edge_absmean_l7_nav,edge_absmean_l7_op,edge_absmean_l7_diff,err_ratio_inf_l7_nav,err_ratio_inf_l7_op,err_ratio_inf_l7_diff,err_ratio_count_l7_nav,err_ratio_count_l7_op,err_ratio_count_l7_diff
P23,primary,author-written,home cooking delivery app convenience,16.4054,16.596,-0.1906,13.71,13.7302,-0.0202,0.1821,0.188,-0.0059,0.4052,0.4137,-0.0085,1.0,1.0,0.0,5.4282,5.558,-0.1298,6.6971,6.5271,0.17,0.6603,0.7486,-0.0883,112.5614,116.6299,-4.0685,1.213,1.2691,-0.0561,0.308875,0.354051,-0.0452,0.3649,0.2691,0.0958,0.3397,0.2514,0.0883
P24,primary,author-written,school phone bans attention autonomy,16.6199,16.7517,-0.1318,13.4816,13.9381,-0.4565,0.1823,0.2199,-0.0376,0.3841,0.4164,-0.0323,1.0,1.0,0.0,5.5635,5.8507,-0.2872,6.5828,6.4802,0.1026,0.6693,0.7997,-0.1304,109.0495,126.9421,-17.8926,1.2358,1.2593,-0.0235,0.320733,0.360154,-0.0394,0.3547,0.2051,0.1496,0.3307,0.2003,0.1304
P25,primary,WildChat,education showcase,16.6688,15.8058,0.863,13.6828,12.9008,0.782,0.1889,0.1415,0.0474,0.399,0.3354,0.0636,1.0,1.0,0.0,5.4442,5.0981,0.3461,6.7102,6.9198,-0.2096,0.6207,0.5989,0.0218,104.1154,135.384,-31.2686,1.2034,1.1582,0.0452,0.324795,0.283261,0.0415,0.4056,0.4285,-0.0229,0.3793,0.4011,-0.0218
P26,primary,WildChat,ww2 animation,16.4411,15.9379,0.5032,13.6758,13.0737,0.6021,0.1824,0.1503,0.0321,0.4026,0.3473,0.0553,1.0,1.0,0.0,5.3761,5.0648,0.3113,6.8881,6.9161,-0.028,0.6289,0.6078,0.0211,120.7165,138.4532,-17.7367,1.213,1.1245,0.0885,0.299943,0.266477,0.0335,0.4012,0.4118,-0.0106,0.3711,0.3922,-0.0211
P27,primary,WildChat,projectile collision,16.9575,16.059,0.8985,13.148,13.6404,-0.4924,0.1533,0.1781,-0.0248,0.3556,0.4043,-0.0487,1.0,1.0,0.0,5.2687,5.3005,-0.0318,6.8204,6.8553,-0.0349,0.543,0.6904,-0.1474,121.8396,134.6334,-12.7938,1.1474,1.2405,-0.0931,0.262352,0.285016,-0.0227,0.4955,0.3266,0.1689,0.457,0.3096,0.1474
P28,primary,author-written,hpv malaysia,16.8267,16.7732,0.0535,14.1863,13.3438,0.8425,0.215,0.1841,0.0309,0.4322,0.3591,0.0731,1.0,1.0,0.0,5.7188,5.6908,0.028,6.2226,6.593,-0.3704,0.7409,0.6675,0.0734,94.7332,147.0301,-52.2969,1.4181,1.1993,0.2188,0.463951,0.274635,0.1893,0.2708,0.3488,-0.078,0.2591,0.3325,-0.0734
P29,primary,pilot (WildChat-derived),sql join,16.81,16.7081,0.1019,13.6836,13.4725,0.2111,0.1795,0.1786,0.0009,0.3931,0.37,0.0231,1.0,1.0,0.0,5.3148,5.2992,0.0156,6.8498,6.6909,0.1589,0.6143,0.5808,0.0335,123.4531,95.1269,28.3262,1.2413,1.2321,0.0092,0.248881,0.296192,-0.0473,0.4145,0.4265,-0.012,0.3857,0.4192,-0.0335
P30,primary,pilot (WildChat-derived),history khajuraho,16.6798,16.0268,0.653,13.6952,13.5421,0.1531,0.1893,0.1798,0.0095,0.3968,0.3956,0.0012,1.0,1.0,0.0,5.4906,5.4624,0.0282,6.45,6.7391,-0.2891,0.6519,0.6533,-0.0014,81.2214,121.9176,-40.6962,1.2873,1.2215,0.0658,0.423133,0.334392,0.0887,0.3753,0.3604,0.0149,0.3481,0.3467,0.0014
P31,primary,author-written,matched-model control,16.6166,16.0947,0.5219,14.2247,12.8914,1.3333,0.2284,0.147,0.0814,0.4364,0.3407,0.0957,1.0,1.0,0.0,5.6595,5.2825,0.377,6.4037,6.6866,-0.2829,0.6661,0.6055,0.0606,92.903,135.0468,-42.1438,1.3464,1.1868,0.1596,0.391041,0.278526,0.1125,0.3566,0.4039,-0.0473,0.3339,0.3945,-0.0606
P32,primary,pilot (WildChat-derived),prof halloween,17.4582,16.1699,1.2883,14.1352,13.6378,0.4974,0.223,0.1762,0.0468,0.4339,0.4008,0.0331,1.0,1.0,0.0,5.7836,5.3815,0.4021,6.4215,6.6327,-0.2112,0.6578,0.6213,0.0365,77.5156,96.0305,-18.5149,1.3443,1.2508,0.0935,0.452399,0.366969,0.0854,0.3653,0.3965,-0.0312,0.3422,0.3787,-0.0365
P33,primary,pilot (WildChat-derived),code web explorer,17.1315,16.51,0.6215,13.8638,13.8055,0.0583,0.1931,0.2106,-0.0175,0.4158,0.4045,0.0113,1.0,1.0,0.0,5.5233,5.5047,0.0186,6.6154,6.5363,0.0791,0.6576,0.6872,-0.0296,104.124,110.216,-6.092,1.2323,1.1526,0.0797,0.326822,0.395342,-0.0685,0.3702,0.3271,0.0431,0.3424,0.3128,0.0296
P34,primary,pilot (WildChat-derived),sci traffic flow,17.1645,16.4822,0.6823,13.7819,13.5698,0.2121,0.1725,0.1967,-0.0242,0.411,0.3763,0.0347,1.0,1.0,0.0,5.3262,5.663,-0.3368,6.734,6.4019,0.3321,0.5431,0.7223,-0.1792,79.4535,101.9502,-22.4967,1.1435,1.2979,-0.1544,0.364678,0.38238,-0.0177,0.4908,0.2925,0.1983,0.4569,0.2777,0.1792
P35,primary,pilot (WildChat-derived),code hibernate inheritance,16.6369,17.683,-1.0461,13.8965,13.5145,0.382,0.2011,0.1647,0.0364,0.4151,0.3856,0.0295,1.0,1.0,0.0,5.5693,5.297,0.2723,6.6232,6.5882,0.035,0.7038,0.5293,0.1745,108.4218,72.8587,35.5631,1.273,1.1732,0.0998,0.364207,0.360314,0.0039,0.3051,0.4765,-0.1714,0.2962,0.4707,-0.1745
S01,sensitivity,WildChat,time complexity irreducibility,16.5765,15.8852,0.6913,12.5372,13.3091,-0.7719,0.1414,0.1537,-0.0123,0.2939,0.363,-0.0691,1.0,1.0,0.0,5.3125,5.1149,0.1976,6.5091,6.8034,-0.2943,0.6847,0.6471,0.0376,126.5292,113.9529,12.5763,1.2402,1.216,0.0242,0.240635,0.307047,-0.0664,0.3235,0.3672,-0.0437,0.3153,0.3529,-0.0376
S02,sensitivity,WildChat,wartime animation propaganda,16.2151,16.5442,-0.3291,13.7231,12.8924,0.8307,0.186,0.1531,0.0329,0.3998,0.3388,0.061,1.0,1.0,0.0,5.4436,5.3143,0.1293,6.692,6.6867,0.0053,0.6679,0.5644,0.1035,109.0695,95.5247,13.5448,1.2657,1.1634,0.1023,0.338536,0.326579,0.012,0.3532,0.4546,-0.1014,0.3321,0.4356,-0.1035
S03,sensitivity,WildChat,hibernate maven sql,17.7593,16.39,1.3693,13.0225,13.7122,-0.6897,0.1758,0.1831,-0.0073,0.3216,0.3946,-0.073,1.0,1.0,0.0,5.8031,5.341,0.4621,6.4449,6.6866,-0.2417,0.6242,0.6506,-0.0264,123.4356,123.4096,0.026,1.2402,1.1976,0.0426,0.315046,0.34393,-0.0289,0.4045,0.3508,0.0537,0.3758,0.3494,0.0264
S04,sensitivity,WildChat,biological logical neurons,16.0841,16.1678,-0.0837,12.4329,13.582,-1.1491,0.1411,0.1675,-0.0264,0.2878,0.3963,-0.1085,1.0,1.0,0.0,5.335,5.2597,0.0753,6.5121,6.8048,-0.2927,0.5694,0.6642,-0.0948,98.3333,115.3294,-16.9961,1.1356,1.2424,-0.1068,0.284558,0.306424,-0.0219,0.4557,0.3504,0.1053,0.4306,0.3358,0.0948
S05,sensitivity,author-written (auxiliary window),carotid concise mdt,16.361,17.0985,-0.7375,13.1394,13.2277,-0.0883,0.1647,0.1462,0.0185,0.3451,0.3543,-0.0092,1.0,1.0,0.0,5.2816,5.3203,-0.0387,6.5447,6.4132,0.1315,0.5693,0.5744,-0.0051,82.536,79.1962,3.3398,1.2571,1.1302,0.1269,0.359896,0.385881,-0.026,0.4674,0.4449,0.0225,0.4307,0.4256,0.0051
S06,sensitivity,author-written (auxiliary window),patterns fractal roots,17.2759,17.3369,-0.061,14.2466,14.0661,0.1805,0.2282,0.1993,0.0289,0.4337,0.4216,0.0121,1.0,1.0,0.0,5.8455,5.4632,0.3823,6.3564,6.9437,-0.5873,0.7311,0.6308,0.1003,101.805,120.5816,-18.7766,1.2881,1.1725,0.1156,0.410584,0.328022,0.0826,0.2861,0.3885,-0.1024,0.2689,0.3692,-0.1003
S07,sensitivity,author-written (auxiliary window),russia influence opening,17.0365,17.3022,-0.2657,13.9165,14.5921,-0.6756,0.1838,0.229,-0.0452,0.4243,0.4808,-0.0565,1.0,1.0,0.0,5.4628,5.7112,-0.2484,6.5892,6.3506,0.2386,0.6919,0.6831,0.0088,111.9084,83.5407,28.3677,1.2613,1.3165,-0.0552,0.342788,0.478308,-0.1355,0.3295,0.334,-0.0045,0.3081,0.3169,-0.0088
